商品ID,日期,真实平台价格,品牌,型号,商品来源网站,商品来源店铺,数据获取时间,商品原标题
A4_TB_18936,2026-04-22,10,未知品牌,80g,淘宝网,荷韵唐诗旗舰店,2026-04-22 12:12:53,打印资料网上教材复印书籍印刷装订成册胶装定制书本自印书小说
A4_TB_36684,2026-04-22,10,未知品牌,80g,淘宝网,西诵图文,2026-04-22 12:12:53,打印资料网上打印资料复印普通A4黑白彩印装订成册次日达满20减19
A4_TB_41679,2026-04-22,10,未知品牌,80g,淘宝网,乐驹服务旗舰店,2026-04-22 12:12:53,打印资料网上复印彩印试卷印刷书籍书本a4文件讲义彩色铜版简历
A4_TB_16047,2026-04-22,9,未知品牌,80g,淘宝网,禾草人旗舰店,2026-04-22 12:12:53,打印资料网上复印书籍印刷铜版纸a4黑白彩印装订成册淘宝打印材料
A4_TB_88624,2026-04-22,1,未知品牌,80g,淘宝网,中彩快印连锁旗舰店,2026-04-22 12:12:53,北京打印资料次日达装订成册文件试卷书a4纸测色彩印复印资料同城
A4_TB_83398,2026-04-22,10,未知品牌,80g,淘宝网,米彩网上打印店,2026-04-22 12:12:53,打印资料网上复印黑白彩打印快印A4文件印刷书本画册装订成册包邮
A4_TB_89394,2026-04-22,10,未知品牌,80g,淘宝网,荷韵唐诗旗舰店,2026-04-22 12:12:53,打印学习资料a4纸b5书本印刷书籍装订成册a3彩色试卷复印店次日达
A4_TB_52940,2026-04-22,0,未知品牌,80g,淘宝网,亿企印印旗舰店,2026-04-22 12:12:53,打印资料次日达装订成册打印材料a4复印纸学习资料广东同城
A4_TB_80855,2026-04-22,10,未知品牌,80g,淘宝网,携罗旗舰店,2026-04-22 12:12:53,打印资料网上复印印刷彩色a4彩印书籍服务装订试卷图文店天津同城
A4_TB_66571,2026-04-22,10,未知品牌,80g,淘宝网,浩珑图文工作室,2026-04-22 12:12:53,新疆乌鲁木齐同城网上资料黑白打印彩色A4复印A3试卷包邮装订成册
A4_TB_77285,2026-04-22,10,未知品牌,80g,淘宝网,青途图文快印,2026-04-22 12:12:53,打印资料次日达材料装订成册网上打印资料a4纸复印a3试卷书籍彩色
A4_TB_68920,2026-04-22,1,未知品牌,80g,淘宝网,贵阳快印加工厂,2026-04-22 12:12:53,贵州贵阳打印资料网上文件图纸黑白A4彩色快复印刷画册不干胶装订
A4_TB_21845,2026-04-22,10,未知品牌,80g,淘宝网,适菱旗舰店,2026-04-22 12:12:53,打印资料网上复印a4彩色彩印铜版纸简历试卷书籍印刷胶装长春同城
A4_TB_41531,2026-04-22,10,未知品牌,80g,淘宝网,法格瑞服务旗舰店,2026-04-22 12:12:53,昆明打印资料铜版纸菲林纸彩激纸胶装书籍印刷网上复印a4文件彩色
A4_TB_96002,2026-04-22,5,未知品牌,80g,淘宝网,非凡快印工厂店,2026-04-22 12:12:53,网上打印店资料a4材料彩色复印彩印书籍文件小说试卷图文装订服务
A4_TB_84707,2026-04-22,21,晨光,70g,淘宝网,晨光彤学专卖店,2026-04-22 12:12:53,晨光A4打印复印纸 纯木浆a4白纸草稿纸70g 80g一包500张整箱2500张办公用品学生用单包5包装打印用纸批发包邮
A4_TB_53456,2026-04-22,10,未知品牌,80g,淘宝网,桦毅神笔旗舰店,2026-04-22 12:12:53,打印资料网上打印讲义教材装订成册复印书籍印刷定制皮纹胶装
A4_TB_71652,2026-04-22,10,未知品牌,80g,淘宝网,悦城图文快印,2026-04-22 12:12:53,陕西西安网上打印资料复印a3试卷彩色a4文件印刷书籍论文装订成册
A4_TB_93720,2026-04-22,9,未知品牌,80g,淘宝网,刀易旗舰店,2026-04-22 12:12:53,打印资料上海次日达彩印书籍装订成册复印画册讲义打印资料
A4_TB_23666,2026-04-22,10,未知品牌,80g,淘宝网,晨曦快印,2026-04-22 12:12:53,打印资料次日达网上复印打印黑白彩印A4文件印刷书籍装订成册胶装
A4_TB_53877,2026-04-22,1,未知品牌,80g,淘宝网,腾辉打印店,2026-04-22 12:12:53,网上打印护眼纸彩印a4文件书本印刷装订成册a3黑白教材资料复印
A4_TB_34697,2026-04-22,3,未知品牌,80g,淘宝网,科帝亚旗舰店,2026-04-22 12:12:53,入选超级立减打印纸好评
A4_TB_48950,2026-04-22,23,未知品牌,80g,淘宝网,乘楚纸博士办公一站购,2026-04-22 12:12:53,乘楚纸博士办公一站购
A4_TB_91531,2026-04-22,6,得力,80g,淘宝网,得力展翔专卖店,2026-04-22 12:12:53,得力护眼纸a4打印纸一包500张A4纸张双面打印纸复印纸75g 纸整箱5包装草稿纸白纸考研刷题纸学生办公用纸
A4_TB_40974,2026-04-22,1,未知品牌,80g,淘宝网,湖北快印王,2026-04-22 12:12:53,打印资料网上打印店黑白文件复印a4彩色印刷装订成册湖北省次日达
A4_TB_64807,2026-04-22,18,未知品牌,70g,淘宝网,月易胜旗舰店,2026-04-22 12:12:53,a4打印纸复印纸70g双面打印A4纸五包2500张整箱批发加厚80g一包500张打印机专用白纸草稿纸学生办公用品包邮
A4_TB_60390,2026-04-22,17,未知品牌,80g,淘宝网,齐心a4打印纸【上市集团】复印纸A4纸70g500张/包整箱2500张加厚批发白纸学生草稿纸办公用纸,2026-04-22 12:12:53,入选淘工厂A4复印纸好评
A4_TB_71390,2026-04-22,81,亚太,70g,淘宝网,亚太森博旗舰店,2026-04-22 12:12:53,【国家绿色工厂】亚太森博a4打印纸复印白纸70g整箱5包500张一包办公用纸双面打印80克草稿试卷纸画画草稿纸
A4_TB_72631,2026-04-22,402,未知品牌,80g,淘宝网,亚太森博旗舰店,2026-04-22 12:12:53,160元以上复印纸热销
